P_ID,Permanent_Residence,Current_Residence,Year,Gender,Department,Q17 = I question whether the skills I'm learning in my subjects will matter in my career.,Q18 = I've become less enthusiastic about solving assignment problems or participating in practical classes,Q19 =  Attending lectures or practicals feels emotionally exhausting.,Q20 =  I sometimes doubt if I can keep up with everything in my engineering program.,Q21 =  l feel mentally drained after working on assignments or projects?.,academic_burnout,academic_burnout_level,at_risk,coping_well,exhausted
234,Arghakhanchi ,Rented room,Second,Male,Computer,3,4,3,4,4,3.6,exhausted,0,0,1
235,Kapilvastu,Rented room,Second,Male,Computer,1,1,4,3,4,2.6,at_risk,1,0,0
236,Saptari,Living with family at home,Second,Male,Computer,4,4,2,4,4,3.6,exhausted,0,0,1
237,Chitwan,Rented flat or apartment,Second,Male,Computer,3,3,3,5,5,3.8,exhausted,0,0,1
238,Baitadi,Rented room,Second,Male,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
239,Palpa,Living with family at home,Second,Male,Computer,1,1,1,1,2,1.2,coping_well,0,1,0
240,Taplejung,Hostel,Second,Male,Computer,1,3,1,1,2,1.6,coping_well,0,1,0
241,Chitwan,Hostel,Second,Female,Computer,1,2,3,2,4,2.4,coping_well,0,1,0
242,Baglung,Rented flat or apartment,Second,Male,Computer,1,2,2,3,2,2.0,coping_well,0,1,0
243,Chitwan,Rented flat or apartment,Second,Male,Computer,2,4,3,3,3,3.0,at_risk,1,0,0
244,Nawalparasi,Rented flat or apartment,Second,Male,Computer,4,4,4,4,4,4.0,exhausted,0,0,1
245,Nawalparasi,Rented flat or apartment,Second,Male,Computer,1,3,2,2,2,2.0,coping_well,0,1,0
246,Kathmandu,Living with family at home,Second,Male,Computer,2,3,4,3,3,3.0,at_risk,1,0,0
247,Kathmandu,Living with family at home,Second,Female,Computer,2,2,3,2,4,2.6,at_risk,1,0,0
248,Kanchanpur,Hostel,Second,Male,Computer,1,2,3,2,1,1.8,coping_well,0,1,0
249,Bhaktapur,Living with family at home,Second,Male,Computer,2,3,1,3,3,2.4,coping_well,0,1,0
250,Baitadi,Living with family at home,Second,Male,Computer,2,2,3,2,1,2.0,coping_well,0,1,0
251,Kathmandu,Living with family at home,Second,Male,Computer,1,2,2,3,1,1.8,coping_well,0,1,0
252,Kathmandu,Living with family at home,Second,Male,Computer,1,4,3,2,1,2.2,coping_well,0,1,0
253,Jhapa,Rented room,Second,Male,Computer,4,3,2,2,3,2.8,at_risk,1,0,0
254,Rautahat,Rented room,Second,Male,Computer,2,3,4,2,3,2.8,at_risk,1,0,0
255,Sunsari,Hostel,Third,Male,Computer,5,5,5,5,1,4.2,exhausted,0,0,1
256,Parsa,Hostel,Third,Male,Computer,2,2,3,2,2,2.2,coping_well,0,1,0
257,Surkhet,Rented flat or apartment,Fourth,Male,Computer,2,1,2,4,3,2.4,coping_well,0,1,0
258,Banke,Rented room,Fourth,Male,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
259,Surkhet,Rented room,Fourth,Male,Computer,1,4,3,3,4,3.0,at_risk,1,0,0
260,Sunsari,Living with family at home,Fourth,Male,Computer,2,2,1,2,2,1.8,coping_well,0,1,0
261,Lalitpur,Living with family at home,Fourth,Male,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
262,Lalitpur,Living with family at home,Fourth,Male,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
263,Lalitpur,Living with family at home,Fourth,Male,Computer,4,2,1,3,2,2.4,coping_well,0,1,0
264,Lalitpur,Living with family at home,Fourth,Male,Computer,2,3,2,3,3,2.6,at_risk,1,0,0
265,Dang,Rented room,Fourth,Male,Computer,2,4,4,2,4,3.2,at_risk,1,0,0
266,Banke,Rented room,Fourth,Male,Computer,5,5,5,5,2,4.4,exhausted,0,0,1
267,Lalitpur,Living with family at home,Fourth,Male,Computer,1,1,4,2,3,2.2,coping_well,0,1,0
268,Jhapa,Rented flat or apartment,First,Male,Computer,2,3,4,2,2,2.6,at_risk,1,0,0
269,Parbat,Living with family at home,First,Male,Computer,2,4,2,4,2,2.8,at_risk,1,0,0
270,Pyuthan,Rented room,First,Male,Computer,2,3,4,3,5,3.4,at_risk,1,0,0
271,Nawalparasi,Rented flat or apartment,Fourth,Male,Computer,1,4,5,3,5,3.6,exhausted,0,0,1
272,Kathmandu,Living with family at home,Fourth,Male,Computer,2,3,3,2,2,2.4,coping_well,0,1,0
273,Kathmandu,Living with family at home,First,Male,Computer,2,4,3,3,4,3.2,at_risk,1,0,0
274,Gulmi,Living with family at home,First,Male,Computer,2,3,3,3,2,2.6,at_risk,1,0,0
275,Kavrepalanchok,Hostel,First,Female,Computer,2,4,4,2,2,2.8,at_risk,1,0,0
276,Lalitpur,Living with family at home,First,Male,Computer,1,2,2,5,1,2.2,coping_well,0,1,0
277,Lalitpur,Living with family at home,Second,Female,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
278,Lamjung,Living with family at home,Second,Female,Computer,2,4,3,2,2,2.6,at_risk,1,0,0
279,Nawalparasi,Rented room,Fourth,Female,Computer,2,3,2,3,2,2.4,coping_well,0,1,0
280,Arghakhanchi ,Hostel,Second,Female,Computer,1,2,1,1,3,1.6,coping_well,0,1,0
281,Mahottari,Hostel,Second,Female,Computer,3,2,2,2,2,2.2,coping_well,0,1,0
282,Parsa,Rented flat or apartment,First,Female,Computer,3,2,2,2,1,2.0,coping_well,0,1,0
283,Jhapa,Living with family at home,Fourth,Male,Computer,2,3,3,3,3,2.8,at_risk,1,0,0
284,Kailali,Rented room,Fourth,Male,Computer,4,3,4,2,2,3.0,at_risk,1,0,0
285,Lalitpur,Rented flat or apartment,Second,Female,IT,2,2,5,2,4,3.0,at_risk,1,0,0
286,Janakpur,Hostel,First,Female,IT,1,1,1,5,2,2.0,coping_well,0,1,0
287,Kailali,Living with family at home,First,Female,IT,2,3,2,1,2,2.0,coping_well,0,1,0
288,Kathmandu,Living with family at home,Fourth,Male,Computer,2,3,2,2,1,2.0,coping_well,0,1,0
289,Kaski,Living with family at home,Fourth,Male,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
290,Dailekh ,Rented room,Second,Male,Computer,1,1,1,2,1,1.2,coping_well,0,1,0
291,Jhapa,Rented room,Fourth,Male,Computer,3,2,2,3,2,2.4,coping_well,0,1,0
292,Udayapur,Rented flat or apartment,Fourth,Female,IT,1,2,2,2,2,1.8,coping_well,0,1,0
293,Lalitpur,Living with family at home,Second,Male,Computer,2,5,5,5,5,4.4,exhausted,0,0,1
294,Banke,Hostel,First,Female,Computer,2,4,2,2,3,2.6,at_risk,1,0,0
295,Chitwan,Hostel,Second,Male,Computer,2,3,2,2,4,2.6,at_risk,1,0,0
296,Lalitpur,Rented room,Fourth,Female,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
297,Dhanusha,Rented room,Fourth,Female,IT,2,3,2,2,1,2.0,coping_well,0,1,0
298,Gulmi,Rented room,First,Male,Computer,2,2,4,2,2,2.4,coping_well,0,1,0
299,Dang,Hostel,Fourth,Female,Computer,1,2,4,2,2,2.2,coping_well,0,1,0
300,Kathmandu,Living with family at home,Fourth,Female,Computer,4,4,4,3,3,3.6,exhausted,0,0,1
301,Bara,Rented flat or apartment,Fourth,Male,Computer,1,1,3,2,2,1.8,coping_well,0,1,0
302,Siraha,Rented flat or apartment,Fourth,Male,IT,2,3,3,4,4,3.2,at_risk,1,0,0
303,Jhapa,Rented flat or apartment,First,Female,Computer,2,3,2,3,3,2.6,at_risk,1,0,0
304,Kailali,Hostel,First,Male,Computer,1,2,3,2,2,2.0,coping_well,0,1,0
305,Nawalparasi,Rented flat or apartment,Fourth,Female,Computer,2,2,3,1,4,2.4,coping_well,0,1,0
306,Kanchanpur,Rented flat or apartment,Fourth,Male,IT,1,4,4,2,2,2.6,at_risk,1,0,0
307,Baitadi,Living with family at home,Fourth,Male,Computer,1,3,2,3,1,2.0,coping_well,0,1,0
308,Lalitpur,Living with family at home,Fourth,Male,Computer,3,3,1,2,1,2.0,coping_well,0,1,0
309,Lalitpur,Living with family at home,Fourth,Male,Computer,1,1,2,2,2,1.6,coping_well,0,1,0
310,Parsa,Hostel,Third,Female,Computer,2,4,3,1,2,2.4,coping_well,0,1,0
311,Kathmandu,Living with family at home,Third,Female,Computer,2,3,3,4,3,3.0,at_risk,1,0,0
312,Dang,Rented flat or apartment,Fourth,Male,Computer,3,4,3,3,3,3.2,at_risk,1,0,0
313,Lalitpur,Living with family at home,Fourth,Male,IT,2,2,2,2,2,2.0,coping_well,0,1,0
314,Lalitpur,Living with family at home,Third,Female,Computer,2,4,3,2,2,2.6,at_risk,1,0,0
315,Parsa,Hostel,First,Female,Computer,3,2,2,2,3,2.4,coping_well,0,1,0
316,Parbat,Hostel,First,Female,IT,2,4,3,3,3,3.0,at_risk,1,0,0
317,Morang,Rented flat or apartment,Fourth,Male,IT,2,2,3,4,3,2.8,at_risk,1,0,0
318,Lalitpur,Living with family at home,Third,Female,Computer,2,3,2,2,2,2.2,coping_well,0,1,0
319,Siraha,Living with family at home,First,Female,IT,1,2,2,2,4,2.2,coping_well,0,1,0
320,Makawanpur,Hostel,First,Male,Computer,1,3,2,3,3,2.4,coping_well,0,1,0
321,Dhading,Rented flat or apartment,Fourth,Male,IT,4,2,2,3,4,3.0,at_risk,1,0,0
322,Kaski,Living with family at home,Fourth,Male,Computer,4,3,4,4,2,3.4,at_risk,1,0,0
323,Kailali,Hostel,Fourth,Female,Computer,2,4,3,2,2,2.6,at_risk,1,0,0
324,Dang,Living with family at home,Fourth,Male,IT,1,2,2,3,1,1.8,coping_well,0,1,0
325,Lalitpur,Living with family at home,Fourth,Male,Computer,1,4,3,2,2,2.4,coping_well,0,1,0
326,Dolakha,Rented room,Fourth,Male,Computer,2,4,5,4,3,3.6,exhausted,0,0,1
327,Lalitpur,Living with family at home,Fourth,Male,Computer,2,2,3,2,4,2.6,at_risk,1,0,0
328,Kathmandu,Living with family at home,Third,Female,Computer,1,1,1,2,2,1.4,coping_well,0,1,0
329,Saptari,Living with family at home,Third,Female,Computer,2,4,5,2,2,3.0,at_risk,1,0,0
330,Khotang,Hostel,Third,Male,Computer,1,4,2,3,2,2.4,coping_well,0,1,0
331,Bhaktapur,Living with family at home,First,Male,Computer,2,2,3,2,3,2.4,coping_well,0,1,0
332,Bhaktapur,Living with family at home,First,Male,Computer,3,2,3,3,3,2.8,at_risk,1,0,0
333,Sinduli,Rented room,First,Male,Computer,2,2,3,2,2,2.2,coping_well,0,1,0
334,Dang,Rented room,First,Male,Computer,2,1,3,3,2,2.2,coping_well,0,1,0
335,Jhapa,Rented flat or apartment,First,Male,Computer,2,4,4,2,4,3.2,at_risk,1,0,0
336,Tanahun,Living with family at home,First,Male,Computer,1,1,2,2,4,2.0,coping_well,0,1,0
337,Chitwan,Hostel,First,Male,Computer,3,4,3,3,2,3.0,at_risk,1,0,0
338,Ilam,Rented room,Fourth,Male,Computer,2,4,2,2,2,2.4,coping_well,0,1,0
339,Udayapur,Rented room,First,Male,IT,1,5,2,1,3,2.4,coping_well,0,1,0
340,Lalitpur,Living with family at home,First,Female,IT,2,4,4,3,3,3.2,at_risk,1,0,0
341,Chitwan,Rented flat or apartment,First,Male,IT,4,3,3,4,4,3.6,exhausted,0,0,1
342,Kaski,Rented flat or apartment,First,Male,IT,2,2,1,1,2,1.6,coping_well,0,1,0
343,Sinduli,Living with family at home,First,Male,IT,1,2,3,3,2,2.2,coping_well,0,1,0
344,Parbat,Living with relatives or guardians,Third,Male,Computer,1,1,1,2,2,1.4,coping_well,0,1,0
345,Kaski,Living with family at home,Second,Male,Computer,2,3,3,3,2,2.6,at_risk,1,0,0
346,Lalitpur,Living with family at home,Fourth,Male,Computer,5,3,1,5,1,3.0,at_risk,1,0,0
347,Kavrepalanchok,Rented flat or apartment,Third,Male,Computer,4,4,2,1,2,2.6,at_risk,1,0,0
348,Janakpur,Living with family at home,First,Female,IT,2,2,4,3,3,2.8,at_risk,1,0,0
349,Nawalparasi,Hostel,First,Male,IT,4,2,1,3,2,2.4,coping_well,0,1,0
350,Syangja,Rented flat or apartment,Fourth,Female,Computer,3,2,3,1,5,2.8,at_risk,1,0,0
351,Kanchanpur,Rented room,First,Male,IT,2,2,2,3,2,2.2,coping_well,0,1,0
352,Lalitpur,Living with family at home,First,Male,IT,1,2,3,2,2,2.0,coping_well,0,1,0
353,Kailali,Living with family at home,Second,Female,IT,3,3,1,3,2,2.4,coping_well,0,1,0
354,Kathmandu,Living with family at home,Second,Male,IT,3,5,5,5,5,4.6,exhausted,0,0,1
355,Makawanpur,Hostel,Third,Male,Computer,4,5,1,4,1,3.0,at_risk,1,0,0
356,Okhaldhunga,Living with family at home,Third,Male,Computer,2,4,3,2,2,2.6,at_risk,1,0,0
357,Chitwan,Rented flat or apartment,Third,Female,Computer,2,4,4,3,4,3.4,at_risk,1,0,0
358,Kathmandu,Living with family at home,Third,Male,Computer,3,4,4,4,3,3.6,exhausted,0,0,1
359,Lalitpur,Living with family at home,Fourth,Male,Computer,3,3,3,3,3,3.0,at_risk,1,0,0
360,Kailali,Rented room,Fourth,Male,Computer,2,3,4,3,3,3.0,at_risk,1,0,0
361,Kathmandu,Living with family at home,Fourth,Male,Computer,2,2,1,3,2,2.0,coping_well,0,1,0
362,Kathmandu,Living with family at home,Third,Male,Computer,1,1,1,4,1,1.6,coping_well,0,1,0
363,Kathmandu,Living with family at home,Third,Male,Computer,2,3,4,3,3,3.0,at_risk,1,0,0
364,Jhapa,Rented room,Fourth,Male,Computer,2,3,1,5,4,3.0,at_risk,1,0,0
365,Lalitpur,Living with family at home,Third,Female,Computer,2,4,3,2,2,2.6,at_risk,1,0,0
366,Kathmandu,Living with family at home,First,Female,Computer,1,4,4,2,1,2.4,coping_well,0,1,0
367,Kanchanpur,Rented room,Third,Male,Computer,2,3,4,4,4,3.4,at_risk,1,0,0
368,Nawalparasi,Hostel,Third,Male,Computer,3,4,4,3,2,3.2,at_risk,1,0,0
369,Kathmandu,Living with family at home,Third,Male,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
370,Kathmandu,Living with family at home,Third,Female,Computer,2,1,1,1,1,1.2,coping_well,0,1,0
371,Kathmandu,Living with family at home,Third,Male,Computer,1,1,1,1,2,1.2,coping_well,0,1,0
372,Kailali,Rented room,First,Male,Computer,2,3,4,3,4,3.2,at_risk,1,0,0
373,Dhanusha,Rented flat or apartment,Fourth,Male,IT,2,3,2,4,2,2.6,at_risk,1,0,0
374,Bhaktapur,Living with family at home,Fourth,Female,Computer,2,4,3,2,2,2.6,at_risk,1,0,0
375,Kavrepalanchok,Living with family at home,Second,Male,IT,3,3,4,4,4,3.6,exhausted,0,0,1
376,Kavrepalanchok,Rented room,First,Male,Computer,1,2,2,5,1,2.2,coping_well,0,1,0
377,Lalitpur,Living with family at home,First,Male,IT,3,3,2,2,2,2.4,coping_well,0,1,0
378,Tanahun,Living with family at home,First,Male,IT,2,3,4,3,4,3.2,at_risk,1,0,0
379,Sarlahi,Living with family at home,First,Male,Computer,2,3,3,4,2,2.8,at_risk,1,0,0
380,Bhaktapur,Living with family at home,Fourth,Male,Computer,1,1,1,5,1,1.8,coping_well,0,1,0
381,Siraha,Rented room,First,Male,IT,2,2,2,2,2,2.0,coping_well,0,1,0
382,Tanahun,Living with family at home,First,Male,IT,2,4,4,2,4,3.2,at_risk,1,0,0
383,Morang,Hostel,First,Male,IT,3,4,3,2,4,3.2,at_risk,1,0,0
384,Lalitpur,Rented flat or apartment,Fourth,Male,Computer,2,2,2,2,3,2.2,coping_well,0,1,0
385,Palpa,Living with relatives or guardians,Fourth,Female,Computer,2,4,4,3,3,3.2,at_risk,1,0,0
386,Mahottari,Hostel,Fourth,Female,Computer,2,3,4,3,2,2.8,at_risk,1,0,0
387,Sankhuwasabha,Living with family at home,Fourth,Female,Computer,2,3,4,4,2,3.0,at_risk,1,0,0
388,Sunsari,Rented room,Fourth,Female,Computer,3,3,3,3,3,3.0,at_risk,1,0,0
389,Nawalparasi,Rented flat or apartment,Fourth,Female,Computer,2,3,4,1,1,2.2,coping_well,0,1,0
390,Ilam,Hostel,Fourth,Male,Computer,1,5,2,4,4,3.2,at_risk,1,0,0
391,Bhaktapur,Living with family at home,Fourth,Male,Computer,1,2,1,2,1,1.4,coping_well,0,1,0
392,Kathmandu,Living with family at home,First,Male,IT,2,3,3,5,4,3.4,at_risk,1,0,0
393,Kailali,Rented room,First,Male,IT,2,2,2,3,3,2.4,coping_well,0,1,0
394,Rautahat,Rented flat or apartment,First,Male,IT,3,2,1,3,3,2.4,coping_well,0,1,0
395,Banke,Rented room,First,Female,IT,2,4,5,3,4,3.6,exhausted,0,0,1
396,Dang,Rented room,First,Female,IT,2,3,3,3,3,2.8,at_risk,1,0,0
397,Dhading,Living with family at home,First,Female,Computer,3,2,4,3,3,3.0,at_risk,1,0,0
398,Lalitpur,Living with family at home,First,Male,Computer,1,2,2,2,2,1.8,coping_well,0,1,0
399,Jhapa,Hostel,First,Female,Computer,2,3,4,2,3,2.8,at_risk,1,0,0
400,Kathmandu,Living with family at home,Fourth,Male,Computer,3,4,1,3,3,2.8,at_risk,1,0,0
401,Nawalparasi,Hostel,Fourth,Female,Computer,2,2,2,3,2,2.2,coping_well,0,1,0
402,Pyuthan,Rented room,Fourth,Male,Computer,1,1,1,3,2,1.6,coping_well,0,1,0
403,Kailali,Rented room,First,Male,Computer,1,2,1,1,4,1.8,coping_well,0,1,0
404,Bhaktapur,Living with family at home,First,Female,Computer,3,3,2,2,2,2.4,coping_well,0,1,0
405,Bhaktapur,Living with family at home,Fourth,Male,IT,2,4,3,5,3,3.4,at_risk,1,0,0
406,Chitwan,Living with relatives or guardians,Fourth,Male,Computer,2,2,2,3,2,2.2,coping_well,0,1,0
407,Gorkha,Living with family at home,Fourth,Male,Computer,1,2,2,3,1,1.8,coping_well,0,1,0
408,Mahottari,Rented room,Fourth,Male,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
409,Ilam,Rented flat or apartment,Fourth,Male,Computer,1,2,1,2,2,1.6,coping_well,0,1,0
410,Kathmandu,Living with family at home,Fourth,Male,Computer,3,1,1,5,4,2.8,at_risk,1,0,0
411,Nuwakot,Living with relatives or guardians,Fourth,Male,Computer,3,4,4,4,4,3.8,exhausted,0,0,1
412,Gulmi,Rented room,Fourth,Male,Computer,3,2,2,2,3,2.4,coping_well,0,1,0
413,Morang,Hostel,Fourth,Male,Computer,3,5,5,5,3,4.2,exhausted,0,0,1
414,Palpa,Living with family at home,Fourth,Male,Computer,1,2,1,3,2,1.8,coping_well,0,1,0
415,Gorkha,Living with family at home,Fourth,Male,Computer,3,2,4,2,3,2.8,at_risk,1,0,0
416,Syangja,Rented room,Fourth,Male,Computer,2,4,4,4,2,3.2,at_risk,1,0,0
417,Lalitpur,Living with family at home,First,Male,Computer,2,5,4,4,2,3.4,at_risk,1,0,0
418,Bhaktapur,Living with family at home,First,Male,Computer,2,5,3,2,3,3.0,at_risk,1,0,0
419,Lalitpur,Living with family at home,First,Female,Computer,1,4,3,2,2,2.4,coping_well,0,1,0
420,Lalitpur,Living with family at home,First,Female,Computer,1,4,4,2,2,2.6,at_risk,1,0,0
421,Bhaktapur,Living with family at home,First,Male,Computer,1,1,1,1,1,1.0,coping_well,0,1,0
422,Dhanusha,Rented room,First,Male,Computer,2,2,3,2,3,2.4,coping_well,0,1,0
423,Kathmandu,Rented room,First,Male,Computer,2,1,1,3,4,2.2,coping_well,0,1,0
424,Lalitpur,Living with family at home,First,Male,Computer,1,2,1,1,1,1.2,coping_well,0,1,0
425,Sarlahi,Hostel,First,Male,Computer,1,5,5,1,5,3.4,at_risk,1,0,0
426,Lalitpur,Living with family at home,First,Male,Computer,1,3,1,1,1,1.4,coping_well,0,1,0
427,Kaski,Living with family at home,First,Female,Computer,3,1,1,1,2,1.6,coping_well,0,1,0
428,Chitwan,Rented room,First,Male,Computer,2,4,3,2,2,2.6,at_risk,1,0,0
429,Jhapa,Living with family at home,First,Male,Computer,1,1,1,1,2,1.2,coping_well,0,1,0
430,Lamjung,Hostel,First,Male,Computer,2,5,4,4,4,3.8,exhausted,0,0,1
431,Kathmandu,Living with family at home,First,Male,IT,2,3,3,2,2,2.4,coping_well,0,1,0
432,Lalitpur,Living with family at home,First,Male,Computer,2,3,2,3,1,2.2,coping_well,0,1,0
433,Kailali,Rented flat or apartment,First,Male,Computer,2,3,3,4,3,3.0,at_risk,1,0,0
434,Dolakha,Living with family at home,First,Male,Computer,3,2,2,2,2,2.2,coping_well,0,1,0
435,Baglung,Rented room,First,Male,Computer,2,2,3,2,4,2.6,at_risk,1,0,0
436,Saptari,Rented flat or apartment,First,Male,Computer,2,3,4,3,1,2.6,at_risk,1,0,0
437,Rupandehi,Rented flat or apartment,First,Male,Computer,3,3,4,4,3,3.4,at_risk,1,0,0
438,Pyuthan,Rented flat or apartment,First,Male,Computer,3,3,3,2,1,2.4,coping_well,0,1,0
439,Jhapa,Hostel,Second,Female,Computer,2,3,2,2,2,2.2,coping_well,0,1,0
440,Dhanusha,Rented flat or apartment,First,Female,Computer,3,2,2,2,2,2.2,coping_well,0,1,0
441,Baglung,Living with family at home,Second,Male,Computer,1,1,1,3,1,1.4,coping_well,0,1,0
442,Kathmandu,Living with family at home,First,Male,Computer,2,5,4,4,5,4.0,exhausted,0,0,1
443,Kanchanpur,Rented room,First,Male,Computer,3,1,1,1,1,1.4,coping_well,0,1,0
444,Kanchanpur,Rented room,First,Male,Computer,3,1,1,1,1,1.4,coping_well,0,1,0
445,Makawanpur,Living with relatives or guardians,First,Male,Computer,1,3,4,2,4,2.8,at_risk,1,0,0
446,Kathmandu,Living with family at home,First,Male,Computer,1,3,3,1,2,2.0,coping_well,0,1,0
447,Dang,Rented flat or apartment,Second,Male,Computer,2,4,3,2,4,3.0,at_risk,1,0,0
448,Kanchanpur,Rented room,Second,Male,Computer,2,2,3,2,1,2.0,coping_well,0,1,0
449,Saptari,Rented room,Fourth,Male,Computer,4,4,4,5,5,4.4,exhausted,0,0,1
450,Syangja,Rented flat or apartment,Fourth,Male,Computer,2,3,3,2,4,2.8,at_risk,1,0,0
451,Dhading,Rented room,Fourth,Male,Computer,2,3,2,3,1,2.2,coping_well,0,1,0
452,Pyuthan,Rented flat or apartment,Second,Male,Computer,1,2,2,2,2,1.8,coping_well,0,1,0
453,Makawanpur,Living with relatives or guardians,Fourth,Male,Computer,2,2,2,4,3,2.6,at_risk,1,0,0
454,Saptari,Living with family at home,First,Female,IT,4,3,3,2,2,2.8,at_risk,1,0,0
455,Saptari,Hostel,Fourth,Female,Computer,2,4,4,2,4,3.2,at_risk,1,0,0
456,Kavrepalanchok,Living with family at home,Fourth,Male,IT,1,2,2,2,4,2.2,coping_well,0,1,0
457,Kathmandu,Living with family at home,Fourth,Male,Computer,4,1,4,4,3,3.2,at_risk,1,0,0
458,Rautahat,Rented flat or apartment,Fourth,Female,IT,2,4,2,2,1,2.2,coping_well,0,1,0
459,Kaski,Rented room,Fourth,Female,Computer,2,2,2,2,2,2.0,coping_well,0,1,0
460,Udayapur,Rented room,First,Male,Computer,2,2,2,3,2,2.2,coping_well,0,1,0
461,Kathmandu,Living with family at home,Fourth,Male,Computer,4,1,4,4,3,3.2,at_risk,1,0,0
462,Saptari,Living with family at home,Third,Female,Computer,1,4,2,2,3,2.4,coping_well,0,1,0
463,Lalitpur,Living with family at home,Third,Female,Computer,1,2,1,1,2,1.4,coping_well,0,1,0
464,Lalitpur,Living with family at home,Third,Female,Computer,2,3,2,2,2,2.2,coping_well,0,1,0
465,Kathmandu,Living with family at home,First,Female,IT,3,3,4,4,3,3.4,at_risk,1,0,0
466,Dang,Hostel,Fourth,Male,IT,2,2,4,2,2,2.4,coping_well,0,1,0
467,Saptari,Rented room,Fourth,Male,IT,2,4,4,4,4,3.6,exhausted,0,0,1
468,Sindhupalchok,Living with family at home,Fourth,Male,IT,2,3,3,4,2,2.8,at_risk,1,0,0
469,Siraha,Rented room,Fourth,Male,Computer,3,3,5,3,5,3.8,exhausted,0,0,1
470,Kathmandu,Living with family at home,Fourth,Female,IT,2,1,1,1,1,1.2,coping_well,0,1,0
471,Saptari,Rented room,Fourth,Male,Computer,3,2,3,2,2,2.4,coping_well,0,1,0
472,Dhading,Rented room,Fourth,Male,Computer,2,3,3,4,3,3.0,at_risk,1,0,0
473,Dhanusha,Rented room,Fourth,Male,Computer,2,3,3,2,2,2.4,coping_well,0,1,0
