P_ID,Permanent_Residence,Current_Residence,Year,Gender,Department,"Q27 = Most of the time, I have meals without company.",Q28 = I feel lonely on weekends when I'm not busy with classes.,Q29 = I don't feel happy when I keep everything to myself.,Q30 =  I feel as if nobody understands me.,"Q31 = I feel like an outsider in my engineering department, even whensurrounded by peers.",loneliness,loneliness_level,high_loneliness,low_loneliness,moderate_loneliness
1,Arghakhanchi ,Hostel,Fourth,Male,IT,2,2,4,5,5,3.6,low_loneliness,0,1,0
2,Morang,Hostel,First,Male,IT,4,4,5,2,4,3.8,low_loneliness,0,1,0
3,Bajura,Rented room,Second,Male,IT,2,3,4,1,2,2.4,high_loneliness,1,0,0
4,Sindhupalchok,Living with family at home,First,Male,IT,2,2,3,2,4,2.6,moderate_loneliness,0,0,1
5,Dadlendura,Rented room,Fourth,Male,Computer,2,4,4,3,2,3.0,moderate_loneliness,0,0,1
6,Panchthar,Rented flat or apartment,Third,Male,Computer,5,5,2,4,5,4.2,low_loneliness,0,1,0
7,Lalitpur,Living with family at home,Third,Female,Computer,4,4,4,2,2,3.2,moderate_loneliness,0,0,1
8,Kathmandu,Living with family at home,Third,Male,Computer,3,3,3,3,3,3.0,moderate_loneliness,0,0,1
9,Sindhupalchok,Living with family at home,First,Male,IT,4,5,5,4,4,4.4,low_loneliness,0,1,0
10,Siraha,Hostel,First,Female,IT,2,2,4,4,4,3.2,moderate_loneliness,0,0,1
11,Morang,Hostel,First,Female,IT,2,2,2,2,3,2.2,high_loneliness,1,0,0
12,Lalitpur,Living with family at home,Fourth,Female,Computer,5,5,5,5,3,4.6,low_loneliness,0,1,0
13,Lalitpur,Living with family at home,Fourth,Male,Computer,1,5,2,3,4,3.0,moderate_loneliness,0,0,1
14,Ilam,Rented flat or apartment,Fourth,Male,Computer,4,5,5,2,5,4.2,low_loneliness,0,1,0
15,Gorkha,Rented flat or apartment,Fourth,Female,Computer,5,2,1,3,1,2.4,high_loneliness,1,0,0
16,Accham,Living with family at home,Fourth,Female,IT,5,5,2,5,4,4.2,low_loneliness,0,1,0
17,Parsa,Living with family at home,Fourth,Male,IT,3,4,4,4,4,3.8,low_loneliness,0,1,0
18,Salyan,Living with family at home,Fourth,Male,Computer,3,5,4,5,5,4.4,low_loneliness,0,1,0
19,Jhapa,Hostel,First,Male,IT,4,4,4,5,5,4.4,low_loneliness,0,1,0
20,Jhapa,Hostel,Second,Male,IT,4,4,4,2,4,3.6,low_loneliness,0,1,0
21,Salyan,Rented room,First,Female,IT,1,2,3,4,5,3.0,moderate_loneliness,0,0,1
22,Palpa,Hostel,First,Male,IT,3,5,2,5,5,4.0,low_loneliness,0,1,0
23,Lalitpur,Living with family at home,First,Male,Computer,4,3,1,1,2,2.2,high_loneliness,1,0,0
24,Kathmandu,Rented flat or apartment,Fourth,Male,Computer,3,5,5,3,2,3.6,low_loneliness,0,1,0
25,Kathmandu,Living with family at home,Fourth,Female,Computer,3,4,4,2,2,3.0,moderate_loneliness,0,0,1
26,Arghakhanchi ,Rented room,First,Female,IT,4,4,4,2,5,3.8,low_loneliness,0,1,0
27,Kathmandu,Living with family at home,First,Female,IT,4,4,4,2,5,3.8,low_loneliness,0,1,0
28,Baitadi,Rented room,First,Male,IT,5,5,3,4,3,4.0,low_loneliness,0,1,0
29,Rupandehi,Living with family at home,First,Male,IT,1,1,1,5,2,2.0,high_loneliness,1,0,0
30,Lalitpur,Living with family at home,Second,Female,IT,5,5,3,2,2,3.4,moderate_loneliness,0,0,1
31,Kathmandu,Living with family at home,Fourth,Male,Computer,3,4,4,4,4,3.8,low_loneliness,0,1,0
32,Rupandehi,Rented flat or apartment,Fourth,Male,Computer,3,5,2,5,5,4.0,low_loneliness,0,1,0
33,Rautahat,Living with family at home,Fourth,Female,Computer,2,4,4,1,4,3.0,moderate_loneliness,0,0,1
34,Kathmandu,Living with family at home,Fourth,Female,Computer,4,5,3,4,4,4.0,low_loneliness,0,1,0
35,Jhapa,Living with family at home,Fourth,Male,Computer,4,4,3,4,5,4.0,low_loneliness,0,1,0
36,Sunsari,Hostel,Fourth,Male,Computer,1,5,5,3,1,3.0,moderate_loneliness,0,0,1
37,Dhanusha,Hostel,Fourth,Female,Computer,5,5,1,1,4,3.2,moderate_loneliness,0,0,1
38,Kavrepalanchok,Living with family at home,Fourth,Male,Computer,4,4,3,4,4,3.8,low_loneliness,0,1,0
39,Gulmi,Living with family at home,Third,Male,Computer,3,5,3,3,3,3.4,moderate_loneliness,0,0,1
40,Gulmi,Living with family at home,Third,Male,Computer,3,4,4,4,4,3.8,low_loneliness,0,1,0
41,Chitwan,Rented flat or apartment,Third,Male,Computer,4,4,4,4,5,4.2,low_loneliness,0,1,0
42,Gulmi,Living with family at home,First,Male,Computer,4,1,5,5,5,4.0,low_loneliness,0,1,0
43,Kapilvastu,Living with relatives or guardians,First,Male,Computer,1,1,1,4,4,2.2,high_loneliness,1,0,0
44,Jhapa,Living with relatives or guardians,First,Female,Computer,4,2,2,2,4,2.8,moderate_loneliness,0,0,1
45,Lalitpur,Rented flat or apartment,Third,Female,Computer,5,5,5,4,4,4.6,low_loneliness,0,1,0
46,Kathmandu,Living with family at home,Third,Female,Computer,5,4,5,1,4,3.8,low_loneliness,0,1,0
47,Bhaktapur,Living with family at home,Third,Female,Computer,4,4,3,2,5,3.6,low_loneliness,0,1,0
48,Sunsari,Hostel,Third,Male,Computer,3,3,3,4,3,3.2,moderate_loneliness,0,0,1
49,Rupandehi,Hostel,Fourth,Male,Computer,5,2,3,4,5,3.8,low_loneliness,0,1,0
50,Morang,Rented flat or apartment,Third,Male,Computer,5,3,4,5,5,4.4,low_loneliness,0,1,0
51,Sinduli,Living with family at home,First,Male,Computer,5,5,4,5,5,4.8,low_loneliness,0,1,0
52,Kathmandu,Living with family at home,Fourth,Male,Computer,4,4,5,4,5,4.4,low_loneliness,0,1,0
53,Palpa,Rented room,Fourth,Male,Computer,4,4,3,4,4,3.8,low_loneliness,0,1,0
54,Bhojpur,Living with family at home,Fourth,Female,Computer,4,4,2,1,3,2.8,moderate_loneliness,0,0,1
55,Mahottari,Rented flat or apartment,Fourth,Female,Computer,2,2,3,2,3,2.4,high_loneliness,1,0,0
56,Tehrathum,Living with family at home,Fourth,Male,Computer,2,4,4,4,2,3.2,moderate_loneliness,0,0,1
57,Dhanusha,Hostel,Fourth,Male,IT,2,4,2,2,4,2.8,moderate_loneliness,0,0,1
58,Siraha,Hostel,First,Female,Computer,4,4,4,2,2,3.2,moderate_loneliness,0,0,1
59,Bhojpur,Living with family at home,First,Female,IT,4,4,2,4,4,3.6,low_loneliness,0,1,0
60,Kapilvastu,Hostel,Fourth,Male,Computer,1,5,4,4,5,3.8,low_loneliness,0,1,0
61,parsa,Rented flat or apartment,First,Male,Computer,1,1,2,1,2,1.4,high_loneliness,1,0,0
62,Makawanpur,Hostel,First,Male,Computer,2,2,2,4,4,2.8,moderate_loneliness,0,0,1
63,Arghakhanchi ,Hostel,First,Male,Computer,2,4,2,2,2,2.4,high_loneliness,1,0,0
64,Kathmandu,Living with family at home,First,Male,Computer,4,3,4,3,4,3.6,low_loneliness,0,1,0
65,Makawanpur,Hostel,First,Male,Computer,4,4,3,2,4,3.4,moderate_loneliness,0,0,1
66,Lalitpur,Living with family at home,First,Male,Computer,4,4,5,4,4,4.2,low_loneliness,0,1,0
67,Dhading,Living with family at home,First,Male,Computer,5,2,4,4,4,3.8,low_loneliness,0,1,0
68,Rupandehi,Rented room,First,Male,Computer,5,3,3,4,5,4.0,low_loneliness,0,1,0
69,Rupandehi,Living with relatives or guardians,First,Male,Computer,4,4,5,4,5,4.4,low_loneliness,0,1,0
70,Sunsari,Living with family at home,First,Male,Computer,5,5,3,2,3,3.6,low_loneliness,0,1,0
71,Mahottari,Rented flat or apartment,First,Male,Computer,5,5,3,1,4,3.6,low_loneliness,0,1,0
72,Lamjung,Living with family at home,First,Male,Computer,2,4,4,4,3,3.4,moderate_loneliness,0,0,1
73,Baglung,Living with family at home,First,Male,Computer,2,2,2,2,3,2.2,high_loneliness,1,0,0
74,Ilam,Rented room,First,Male,Computer,4,2,4,3,2,3.0,moderate_loneliness,0,0,1
75,Gulmi,Rented room,First,Male,Computer,3,3,5,1,5,3.4,moderate_loneliness,0,0,1
76,Nawalparasi,Hostel,First,Male,Computer,5,5,3,1,3,3.4,moderate_loneliness,0,0,1
77,Dhanusha,Rented room,First,Male,Computer,2,1,1,1,2,1.4,high_loneliness,1,0,0
78,Dhanusha,Rented flat or apartment,First,Male,Computer,2,4,4,2,3,3.0,moderate_loneliness,0,0,1
79,Lalitpur,Living with family at home,First,Female,IT,5,5,2,5,5,4.4,low_loneliness,0,1,0
80,Bhaktapur,Living with family at home,First,Male,IT,4,4,4,3,3,3.6,low_loneliness,0,1,0
81,Lalitpur,Living with family at home,Second,Male,IT,3,4,3,1,5,3.2,moderate_loneliness,0,0,1
82,Chitwan,Hostel,First,Male,IT,3,2,1,1,2,1.8,high_loneliness,1,0,0
83,Kailali,Living with family at home,First,Male,IT,4,4,4,4,2,3.6,low_loneliness,0,1,0
84,Dhanusha,Rented room,First,Male,IT,1,2,3,5,5,3.2,moderate_loneliness,0,0,1
85,Dolakha,Living with family at home,First,Male,Computer,3,4,3,2,2,2.8,moderate_loneliness,0,0,1
86,Kathmandu,Living with family at home,First,Male,Computer,3,4,2,4,4,3.4,moderate_loneliness,0,0,1
87,Morang,Hostel,First,Male,Computer,3,5,5,5,3,4.2,low_loneliness,0,1,0
88,Lalitpur,Living with family at home,First,Female,Computer,4,5,2,4,5,4.0,low_loneliness,0,1,0
89,Kathmandu,Living with family at home,First,Male,Computer,1,1,3,1,1,1.4,high_loneliness,1,0,0
90,Kathmandu,Living with family at home,First,Male,Computer,4,5,5,3,3,4.0,low_loneliness,0,1,0
91,Kathmandu,Rented room,First,Male,Computer,2,2,1,1,1,1.4,high_loneliness,1,0,0
92,Morang,Hostel,First,Female,Computer,2,3,2,2,4,2.6,moderate_loneliness,0,0,1
93,Kathmandu,Living with family at home,First,Male,Computer,5,3,5,5,5,4.6,low_loneliness,0,1,0
94,Kathmandu,Living with family at home,First,Male,Computer,5,4,4,4,4,4.2,low_loneliness,0,1,0
95,Makawanpur,Living with family at home,First,Male,Computer,4,4,1,3,5,3.4,moderate_loneliness,0,0,1
96,Gorkha,Living with family at home,First,Male,IT,3,4,2,3,2,2.8,moderate_loneliness,0,0,1
97,Lalitpur,Rented flat or apartment,First,Female,Computer,2,4,3,2,2,2.6,moderate_loneliness,0,0,1
98,Sarlahi,Living with family at home,Fourth,Female,Computer,3,4,4,2,4,3.4,moderate_loneliness,0,0,1
99,Udayapur,Rented room,Third,Male,Computer,4,3,4,4,5,4.0,low_loneliness,0,1,0
100,Kanchanpur,Rented flat or apartment,Third,Male,Computer,4,2,3,1,1,2.2,high_loneliness,1,0,0
101,Kapilvastu,Rented room,Third,Male,Computer,4,4,2,4,4,3.6,low_loneliness,0,1,0
102,Chitwan,Hostel,Third,Male,IT,2,3,3,4,1,2.6,moderate_loneliness,0,0,1
103,Jhapa,Rented flat or apartment,Third,Male,Computer,2,4,4,4,3,3.4,moderate_loneliness,0,0,1
104,Lalitpur,Living with family at home,Third,Male,Computer,4,5,3,2,3,3.4,moderate_loneliness,0,0,1
105,Rupandehi,Living with relatives or guardians,Third,Male,Computer,3,2,2,3,4,2.8,moderate_loneliness,0,0,1
106,Lamjung,Living with family at home,Fourth,Male,Computer,5,4,4,5,5,4.6,low_loneliness,0,1,0
107,Surkhet,Living with relatives or guardians,Fourth,Male,Computer,2,2,3,2,2,2.2,high_loneliness,1,0,0
108,Rupandehi,Hostel,Fourth,Male,Computer,2,4,5,23,2,7.2,low_loneliness,0,1,0
109,Lamjung,Living with family at home,Fourth,Female,Computer,4,4,4,5,5,4.4,low_loneliness,0,1,0
110,Kathmandu,Living with family at home,Fourth,Male,Computer,5,4,4,4,5,4.4,low_loneliness,0,1,0
111,Kavrepalanchok,Living with family at home,Fourth,Male,Computer,5,4,5,4,5,4.6,low_loneliness,0,1,0
112,Surkhet,Rented room,Fourth,Male,Computer,3,2,4,3,3,3.0,moderate_loneliness,0,0,1
113,Kanchanpur,Rented room,Fourth,Male,Computer,4,4,3,4,5,4.0,low_loneliness,0,1,0
114,Dolakha,Living with family at home,Second,Male,Computer,5,5,1,3,3,3.4,moderate_loneliness,0,0,1
115,Kathmandu,Living with family at home,Second,Male,Computer,2,5,3,1,4,3.0,moderate_loneliness,0,0,1
116,Kathmandu,Living with family at home,Second,Female,Computer,2,2,2,1,2,1.8,high_loneliness,1,0,0
117,Kailali,Rented flat or apartment,Second,Male,Computer,4,2,2,4,3,3.0,moderate_loneliness,0,0,1
118,Kathmandu,Living with family at home,Second,Female,Computer,5,5,3,5,5,4.6,low_loneliness,0,1,0
119,Syangja,Rented flat or apartment,Second,Male,Computer,3,5,3,3,4,3.6,low_loneliness,0,1,0
120,Rupandehi,Hostel,Second,Male,Computer,4,3,4,3,4,3.6,low_loneliness,0,1,0
121,Palpa,Hostel,Second,Male,Computer,2,3,3,3,4,3.0,moderate_loneliness,0,0,1
122,Kathmandu,Living with family at home,Second,Female,Computer,3,3,1,1,1,1.8,high_loneliness,1,0,0
123,Tanahun,Rented flat or apartment,Fourth,Male,Computer,4,5,3,5,5,4.4,low_loneliness,0,1,0
124,Gulmi,Rented flat or apartment,Second,Male,Computer,2,5,4,5,4,4.0,low_loneliness,0,1,0
125,Bardiya,Hostel,Fourth,Male,Computer,3,3,2,3,3,2.8,moderate_loneliness,0,0,1
126,Dhanusha,Living with family at home,Fourth,Female,Computer,2,3,3,4,4,3.2,moderate_loneliness,0,0,1
127,Nawalparasi,Rented room,Fourth,Female,Computer,2,5,5,5,2,3.8,low_loneliness,0,1,0
128,Lalitpur,Living with family at home,Fourth,Female,Computer,4,3,3,2,1,2.6,moderate_loneliness,0,0,1
129,Bhaktapur,Living with family at home,Fourth,Male,Computer,5,2,5,5,1,3.6,low_loneliness,0,1,0
130,Rupandehi,Rented flat or apartment,Fourth,Male,Computer,3,4,3,3,4,3.4,moderate_loneliness,0,0,1
131,Lalitpur,Living with family at home,Fourth,Female,Computer,2,2,2,4,4,2.8,moderate_loneliness,0,0,1
132,Kathmandu,Living with family at home,Fourth,Female,Computer,4,4,4,1,2,3.0,moderate_loneliness,0,0,1
133,Lalitpur,Living with family at home,Fourth,Female,Computer,4,2,2,3,4,3.0,moderate_loneliness,0,0,1
134,Kathmandu,Rented flat or apartment,Fourth,Male,Computer,4,4,2,4,5,3.8,low_loneliness,0,1,0
135,Panchthar,Living with relatives or guardians,Fourth,Male,Computer,4,2,5,2,5,3.6,low_loneliness,0,1,0
136,Okhaldhunga,Rented flat or apartment,Fourth,Female,Computer,5,5,4,3,3,4.0,low_loneliness,0,1,0
137,Morang,Living with relatives or guardians,Third,Male,Computer,4,5,3,1,2,3.0,moderate_loneliness,0,0,1
138,Bajhang,Rented room,Third,Male,Computer,5,5,5,5,5,5.0,low_loneliness,0,1,0
139,Kathmandu,Living with relatives or guardians,Third,Male,Computer,3,4,3,3,4,3.4,moderate_loneliness,0,0,1
140,Kailali,Rented room,Fourth,Male,Computer,2,5,5,5,5,4.4,low_loneliness,0,1,0
141,Lalitpur,Living with family at home,Fourth,Male,IT,2,4,2,3,3,2.8,moderate_loneliness,0,0,1
142,Sarlahi,Rented room,Third,Male,Computer,3,5,5,5,4,4.4,low_loneliness,0,1,0
143,Kaski,Living with family at home,First,Male,IT,2,5,5,5,4,4.2,low_loneliness,0,1,0
144,Gulmi,Rented flat or apartment,First,Male,Computer,4,2,3,3,3,3.0,moderate_loneliness,0,0,1
145,Kathmandu,Living with family at home,Third,Male,Computer,3,4,3,3,3,3.2,moderate_loneliness,0,0,1
146,Jhapa,Living with family at home,Fourth,Female,Computer,2,4,5,3,4,3.6,low_loneliness,0,1,0
147,Kathmandu,Living with family at home,First,Male,IT,4,4,4,4,4,4.0,low_loneliness,0,1,0
148,Lalitpur,Living with family at home,Fourth,Female,Computer,4,4,4,4,4,4.0,low_loneliness,0,1,0
149,Lalitpur,Rented room,Fourth,Male,Computer,2,2,2,2,2,2.0,high_loneliness,1,0,0
150,Kavrepalanchok,Living with family at home,Fourth,Male,Computer,5,2,5,4,5,4.2,low_loneliness,0,1,0
151,Sarlahi,Rented room,Third,Male,Computer,4,5,4,2,3,3.6,low_loneliness,0,1,0
152,Bajhang,Living with relatives or guardians,First,Male,IT,2,4,2,3,3,2.8,moderate_loneliness,0,0,1
153,Rasuwa,Rented room,Third,Male,Computer,4,4,4,2,3,3.4,moderate_loneliness,0,0,1
154,Chitwan,Living with family at home,Second,Male,Computer,4,4,4,3,3,3.6,low_loneliness,0,1,0
155,Gulmi,Rented flat or apartment,Second,Male,Computer,4,5,2,4,5,4.0,low_loneliness,0,1,0
156,Sarlahi,Rented room,Third,Male,Computer,4,5,1,4,3,3.4,moderate_loneliness,0,0,1
157,Dhanusha,Hostel,Fourth,Male,Computer,3,4,4,3,4,3.6,low_loneliness,0,1,0
158,Morang,Hostel,First,Male,IT,2,2,1,4,4,2.6,moderate_loneliness,0,0,1
159,Mahottari,Rented flat or apartment,First,Female,IT,3,3,3,3,3,3.0,moderate_loneliness,0,0,1
160,Jhapa,Living with family at home,Second,Male,IT,3,4,1,3,3,2.8,moderate_loneliness,0,0,1
161,Okhaldhunga,Rented flat or apartment,Fourth,Male,Computer,5,3,5,5,5,4.6,low_loneliness,0,1,0
162,Ilam,Rented flat or apartment,First,Male,IT,2,5,5,5,5,4.4,low_loneliness,0,1,0
163,Jhapa,Hostel,First,Female,IT,3,1,4,3,4,3.0,moderate_loneliness,0,0,1
164,Lalitpur,Living with family at home,First,Male,IT,4,4,2,3,4,3.4,moderate_loneliness,0,0,1
165,Kailali,Rented room,First,Female,IT,5,5,3,5,4,4.4,low_loneliness,0,1,0
166,Kapilvastu,Rented flat or apartment,Third,Male,Computer,4,5,4,4,5,4.4,low_loneliness,0,1,0
167,Jhapa,Living with relatives or guardians,Third,Male,Computer,2,3,3,5,5,3.6,low_loneliness,0,1,0
168,Palpa,Rented flat or apartment,Third,Female,Computer,4,5,4,5,4,4.4,low_loneliness,0,1,0
169,Lalitpur,Living with family at home,Third,Female,Computer,3,3,3,2,4,3.0,moderate_loneliness,0,0,1
170,Kathmandu,Living with family at home,First,Female,Computer,4,4,2,2,4,3.2,moderate_loneliness,0,0,1
171,Rukum,Rented room,Fourth,Male,Computer,4,4,3,3,3,3.4,moderate_loneliness,0,0,1
172,Syangja,Rented room,Fourth,Male,Computer,4,4,4,3,4,3.8,low_loneliness,0,1,0
173,Chitwan,Hostel,Fourth,Female,Computer,5,1,2,1,3,2.4,high_loneliness,1,0,0
174,Kailali,Rented room,Fourth,Male,Computer,3,4,4,5,5,4.2,low_loneliness,0,1,0
175,Rupandehi,Hostel,Fourth,Female,Computer,5,5,3,2,2,3.4,moderate_loneliness,0,0,1
176,Lalitpur,Living with family at home,Fourth,Male,Computer,4,4,5,3,4,4.0,low_loneliness,0,1,0
177,Morang,Living with family at home,Fourth,Male,Computer,4,3,5,3,3,3.6,low_loneliness,0,1,0
178,Rupandehi,Hostel,Third,Male,Computer,3,4,3,3,2,3.0,moderate_loneliness,0,0,1
179,Rupandehi,Rented flat or apartment,Third,Male,Computer,4,4,5,5,4,4.4,low_loneliness,0,1,0
180,Kanchanpur,Rented flat or apartment,Third,Male,Computer,2,2,2,2,3,2.2,high_loneliness,1,0,0
181,Bara,Rented room,Third,Male,Computer,2,3,4,3,4,3.2,moderate_loneliness,0,0,1
182,Lalitpur,Living with family at home,First,Male,Computer,3,3,4,4,4,3.6,low_loneliness,0,1,0
183,Okhaldhunga,Living with family at home,First,Male,Computer,4,5,3,4,5,4.2,low_loneliness,0,1,0
184,Kathmandu,Living with family at home,First,Female,Computer,5,5,5,5,5,5.0,low_loneliness,0,1,0
185,Lamjung,Living with family at home,Fourth,Female,IT,2,4,4,4,3,3.4,moderate_loneliness,0,0,1
186,Siraha,Rented room,Fourth,Male,IT,4,1,1,3,5,2.8,moderate_loneliness,0,0,1
187,Kathmandu,Living with family at home,First,Female,Computer,5,5,5,5,5,5.0,low_loneliness,0,1,0
188,Lalitpur,Living with family at home,Fourth,Male,Computer,3,4,4,3,3,3.4,moderate_loneliness,0,0,1
189,Palpa,Rented room,Fourth,Male,Computer,3,4,3,4,4,3.6,low_loneliness,0,1,0
190,Chitwan,Rented flat or apartment,Fourth,Female,Computer,4,4,4,2,3,3.4,moderate_loneliness,0,0,1
191,Kathmandu,Living with family at home,Fourth,Male,Computer,4,3,3,3,2,3.0,moderate_loneliness,0,0,1
192,Mugu,Living with family at home,Fourth,Other,Computer,1,5,5,5,2,3.6,low_loneliness,0,1,0
193,Nawalparasi,Rented room,Fourth,Male,Computer,4,5,4,3,5,4.2,low_loneliness,0,1,0
194,Udayapur,Rented room,Fourth,Male,Computer,2,2,4,3,3,2.8,moderate_loneliness,0,0,1
195,Dang,Living with relatives or guardians,Fourth,Male,Computer,2,4,2,3,4,3.0,moderate_loneliness,0,0,1
196,Lalitpur,Living with family at home,First,Female,Computer,5,4,3,3,4,3.8,low_loneliness,0,1,0
197,Bara,Living with relatives or guardians,Fourth,Male,Computer,5,2,2,4,3,3.2,moderate_loneliness,0,0,1
198,Dhanusha,Rented flat or apartment,Fourth,Male,IT,1,5,5,5,5,4.2,low_loneliness,0,1,0
199,Dhading,Rented room,Second,Male,Computer,3,4,2,2,4,3.0,moderate_loneliness,0,0,1
200,Lalitpur,Living with family at home,Fourth,Other,Computer,4,3,2,3,4,3.2,moderate_loneliness,0,0,1
201,Kathmandu,Living with family at home,Third,Male,Computer,5,5,3,4,5,4.4,low_loneliness,0,1,0
202,Kanchanpur,Hostel,First,Female,IT,2,4,3,3,3,3.0,moderate_loneliness,0,0,1
203,Sankhuwasabha,Rented room,First,Female,IT,3,4,3,4,4,3.6,low_loneliness,0,1,0
204,Kavrepalanchok,Living with family at home,Fourth,Female,Computer,2,2,2,4,1,2.2,high_loneliness,1,0,0
205,Rukum,Living with family at home,Fourth,Female,Computer,2,3,3,3,2,2.6,moderate_loneliness,0,0,1
206,Kalikot,Living with relatives or guardians,Fourth,Female,Computer,4,4,3,4,4,3.8,low_loneliness,0,1,0
207,Kathmandu,Living with family at home,Fourth,Female,Computer,4,3,3,2,3,3.0,moderate_loneliness,0,0,1
208,Mahottari,Hostel,Fourth,Male,Computer,3,3,3,4,3,3.2,moderate_loneliness,0,0,1
209,Bajhang,Rented room,Fourth,Male,Computer,2,2,2,4,2,2.4,high_loneliness,1,0,0
210,Kathmandu,Living with family at home,First,Male,Computer,3,4,5,5,5,4.4,low_loneliness,0,1,0
211,Lalitpur,Living with family at home,First,Male,Computer,3,5,5,4,4,4.2,low_loneliness,0,1,0
212,Bhaktapur,Living with family at home,Fourth,Female,IT,4,2,2,1,2,2.2,high_loneliness,1,0,0
213,Nawalparasi,Rented room,Third,Male,Computer,2,4,4,4,3,3.4,moderate_loneliness,0,0,1
214,Sunsari,Rented flat or apartment,Third,Male,Computer,2,4,2,2,4,2.8,moderate_loneliness,0,0,1
215,Kanchanpur,Rented flat or apartment,Fourth,Male,Computer,2,4,5,4,3,3.6,low_loneliness,0,1,0
216,Kathmandu,Rented room,Fourth,Male,Computer,4,4,4,4,2,3.6,low_loneliness,0,1,0
217,Kathmandu,Living with family at home,Fourth,Male,Computer,4,4,3,2,3,3.2,moderate_loneliness,0,0,1
218,Sunsari,Rented flat or apartment,Fourth,Male,Computer,5,5,5,5,5,5.0,low_loneliness,0,1,0
219,Sunsari,Rented room,Fourth,Male,Computer,1,3,3,3,5,3.0,moderate_loneliness,0,0,1
220,Ramechhap,Living with family at home,Fourth,Male,Computer,4,5,4,3,3,3.8,low_loneliness,0,1,0
221,Lalitpur,Living with family at home,Fourth,Male,Computer,5,4,1,2,3,3.0,moderate_loneliness,0,0,1
222,Jhapa,Rented room,Fourth,Male,Computer,5,5,5,1,1,3.4,moderate_loneliness,0,0,1
223,Rautahat,Rented room,Second,Male,Computer,4,1,3,2,5,3.0,moderate_loneliness,0,0,1
224,Lalitpur,Living with family at home,Fourth,Male,Computer,5,5,5,5,5,5.0,low_loneliness,0,1,0
225,Dang,Rented room,Fourth,Male,Computer,2,3,3,2,4,2.8,moderate_loneliness,0,0,1
226,Jhapa,Rented room,First,Male,IT,4,3,3,3,1,2.8,moderate_loneliness,0,0,1
227,Surkhet,Rented room,First,Male,IT,3,2,4,3,1,2.6,moderate_loneliness,0,0,1
228,Kathmandu,Living with family at home,First,Male,IT,3,2,3,2,3,2.6,moderate_loneliness,0,0,1
229,Dhading,Living with family at home,First,Female,IT,4,5,5,5,5,4.8,low_loneliness,0,1,0
230,Salyan,Living with family at home,First,Male,IT,4,4,3,4,2,3.4,moderate_loneliness,0,0,1
231,Kathmandu,Living with family at home,Fourth,Male,Computer,5,4,5,4,5,4.6,low_loneliness,0,1,0
232,Dhanusha,Rented flat or apartment,Second,Male,Computer,4,3,4,3,4,3.6,low_loneliness,0,1,0
233,Bara,Rented flat or apartment,Second,Male,Computer,4,4,4,4,4,4.0,low_loneliness,0,1,0
